SDOT_UNIT_,SPR_UNIT_I,SDCI_UNIT_,SPU_TREE_U,SPU_PLANT_,PEST_UNIT_,SOURCE_DEP,SCIENTIFIC,COMMON_NAM,DBH,OWNERSHIP,UNITDESC,GLOBALID,kc_am1,kc_af1,kc_pm1,lat,lon
TRE-1098662,,,,,TRE-1098662,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"22",Private,6748 MARY AVE NW,787c6c49-b741-4658-9c93-44fc6457f045,61.190196990966797,84.868583679199219,82.259170532226562,-122.3761090000,47.6792515700
TRE-1098663,,,,,TRE-1098663,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"19",Private,6748 MARY AVE NW,4eaf945e-550e-4b4d-989d-79feff66efb3,61.190196990966797,84.868583679199219,82.259170532226562,-122.3761090000,47.6792887200
TRE-1098664,,,,,TRE-1098664,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Private,6748 MARY AVE NW,2fcde745-3feb-44a2-86a0-2050b33156e8,61.341739654541016,85.099494934082031,82.420181274414062,-122.3761070000,47.6793248300
TRE-1098665,,,,,TRE-1098665,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"18",Private,6748 MARY AVE NW,dca9fe35-537c-49c1-a220-a635539078d5,61.341739654541016,85.099494934082031,82.420181274414062,-122.3761040000,47.6793614900
TRE-1099634,,,,,TRE-1099634,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,134 N 82ND ST,82f148ea-eeee-489f-bb61-afe3ce749af7,63.141841888427734,88.787109375000000,85.305778503417969,-122.3563940000,47.6884395700
TRE-1100565,,,,,TRE-1100565,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"22",Private,318 NW 72ND ST,7ee31076-cca7-4b45-8971-233b939c6ce0,61.202499389648438,86.046791076660156,82.487327575683594,-122.3614190000,47.6810122500
TRE-1099955,,,,,TRE-1099955,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Seattle Department of Transportation,TC - NW 77TH ST & MARY AVE NW,2f3465a3-2f0b-4599-a508-ad109592a7a8,62.194519042968750,87.121223449707017,84.090370178222656,-122.3754460000,47.6850686400
TRE-1101319,,,,,TRE-1101319,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,7558 18TH AVE NW,7f9be894-bcbe-492e-bd6e-a3f3715767f8,61.314067840576165,85.307243347167969,82.448295593261719,-122.3795790000,47.6849958100
TRE-1099966,,,,,TRE-1099966,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,11756 PALATINE AVE N,8fa2acf6-b1d6-436d-a4aa-a2b4eb905fa6,61.448360443115234,89.554450988769531,85.897895812988281,-122.3567860000,47.7158172700
TRE-1102123,,,,,TRE-1102123,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Private,8310 31ST AVE NW,1afde265-37cf-4dcf-a832-2d4dca12c8cf,62.036827087402344,88.843955993652330,84.988121032714844,-122.3969490000,47.6887746900
