field_1,id,latitude,longitude,place_town_name,place_county_name,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
178,69079934,47.6706215786,-122.3097227422,,King,88.2068786621094,61.2052230834961,84.1051254272461,,,,,,,,,
179,69100155,47.6795021335,-122.3936154372,,King,82.8918304443359,58.767879486084,80.9615325927734,,,,,,,,,
180,69100473,47.679485106,-122.3922885117,,King,82.864990234375,58.8685340881348,80.9041595458984,,,,,,,,,
181,69100576,47.6795331343,-122.3918578495,,King,82.8073883056641,58.9184837341309,80.8830947875977,,,,,,,,,
182,69120460,47.62587,-122.2941133333,,King,87.8088531494141,60.3628883361816,84.3626098632812,,,,,,,,,
183,69162815,48.4615312504,-123.3188999709,Oak Bay,Capital,,,,,,,,,,,,
184,69178256,49.3041534422,-122.9611053467,,Greater Vancouver,,,,,,,,,,,,
185,69232120,48.4616259784,-123.3413791243,"Saanich, British Columbia",Capital,,,,,,,,,,,,
186,69232770,49.3159065244,-123.0062561033,,Greater Vancouver,,,,,,,,,,,,
187,69232973,49.3081665039,-123.0038146972,,Greater Vancouver,,,,,,,,,,,,
188,69236663,47.3700916667,-122.320305,Des Moines City Limits,King,89.6828689575195,60.4899635314941,85.7893142700195,,,,,,,,,
189,69267891,49.1887092589,-122.7954635619,,Greater Vancouver,,,,,,,,,,,,
190,69268074,49.1900138853,-122.7938842772,,Greater Vancouver,,,,,,,,,,,,
191,69268876,49.2076759336,-122.7697525022,,Greater Vancouver,,,,,,,,,,,,
192,69269086,49.2054443358,-122.7647171019,,Greater Vancouver,,,,,,,,,,,,
193,69269145,49.2060279844,-122.7766036986,,Greater Vancouver,,,,,,,,,,,,
194,69377380,46.9596633333,-123.1019666667,,Thurston,,,,,,,,,,,,
195,69382016,48.81577454,-123.30467988,,Capital,,,,,,,,,,,,
196,69438855,47.5662033333,-122.3074416667,,King,90.2412109375,60.3637084960938,87.1226959228516,,,,,,,,,
197,69463782,47.7123031667,-122.3725999722,,King,89.6394577026367,56.5878677368164,82.6356887817383,,,,,,,,,
198,69478668,49.3262634275,-123.0171051025,,Greater Vancouver,,,,,,,,,,,,
199,69534281,47.631695,-122.2963033333,,King,89.7409286499023,57.905445098877,83.2335357666016,,,,,,,,,
200,69595055,49.3157424925,-123.1018371581,,Greater Vancouver,,,,,,,,,,,,
201,69595290,49.3275947569,-123.0863189697,,Greater Vancouver,,,,,,,,,,,,
202,69595515,49.3274345397,-123.0735549925,,Greater Vancouver,,,,,,,,,,,,
203,69689185,49.3091354369,-122.9911499022,,Greater Vancouver,,,,,,,,,,,,
204,69721399,49.2868232725,-122.9521636961,,Greater Vancouver,,,,,,,,,,,,
205,69721567,49.2869148253,-122.9809341431,,Greater Vancouver,,,,,,,,,,,,
206,69770286,49.3178138731,-122.9447402953,,Greater Vancouver,,,,,,,,,,,,
207,69784473,49.2404022217,-122.9594345092,,Greater Vancouver,,,,,,,,,,,,
208,69964682,47.21985,-122.3960333333,Tacoma,Pierce,,,,,,,,,,31.2298374176025,15.9247436523438,29.8525772094727
209,69964977,47.1719924371,-122.3142673662,"Puyallup, WA",Pierce,,,,82.5999984741211,57.0999984741211,78.4000015258789,,,,31.1085262298584,15.8114566802979,27.6639099121094
210,69965459,47.1795583333,-122.3205633333,"Puyallup, WA",Pierce,,,,83.4000015258789,57.0999984741211,79.3000030517578,,,,31.0868892669678,15.8327169418335,27.576976776123
211,69971033,47.7549833333,-122.3626333333,,King,86.211799621582,58.5453338623047,82.546257019043,,,,,,,,,
212,69971407,47.7476913109,-122.3608824232,,King,90.3086624145508,59.5473136901855,87.2262802124023,,,,,,,,,
213,69972018,47.753895,-122.3621966667,,King,87.4831237792969,58.7756843566895,82.9545822143555,,,,,,,,,
214,70014534,47.4895343664,-122.4733704329,,King,,,,,,,,,,,,
215,70014877,47.489842706,-122.4727122858,,King,,,,,,,,,,,,
216,70015042,47.4894727435,-122.4711368233,,King,,,,,,,,,,,,
217,70015240,47.48921739,-122.47082916,,King,,,,,,,,,,,,
218,70015410,47.4891528473,-122.470806241,,King,,,,,,,,,,,,
219,70025028,47.5676333333,-122.0942,Issaquah City Limits,King,88.8177261352539,59.9538612365723,84.900520324707,,,,,,,,,
220,70046682,47.37766452,-122.05853367,,King,89.552619934082,55.9020500183105,81.8038940429688,,,,,,,,,
221,70064801,45.47808,-122.6536633333,Portland,Multnomah,,,,,,,31.4485187530518,16.167366027832,29.3214778900146,,,
222,70100910,48.4617837097,-123.3459513337,"Saanich, British Columbia",Capital,,,,,,,,,,,,
223,70133946,45.4824362791,-122.7157948539,Portland,Multnomah,,,,,,,30.470251083374,14.9768924713135,27.2094402313232,,,
224,70145725,49.0138932997,-122.6571849997,,Greater Vancouver,,,,,,,,,,,,
225,70155662,49.0329014,-122.6865643,,Greater Vancouver,,,,,,,,,,,,
226,70155782,49.0324251997,-122.6867404,,Greater Vancouver,,,,,,,,,,,,
227,70156012,49.0372702,-122.6856743997,,Greater Vancouver,,,,,,,,,,,,
228,70156131,49.0374951,-122.6855776,,Greater Vancouver,,,,,,,,,,,,
229,70156277,49.0379219,-122.6863326997,,Greater Vancouver,,,,,,,,,,,,
230,70156394,49.0356754,-122.684178,,Greater Vancouver,,,,,,,,,,,,
231,70158471,49.035713,-122.6847570997,,Greater Vancouver,,,,,,,,,,,,
232,70173063,46.745,-116.990286,,Latah,,,,,,,,,,,,
233,70173315,46.745,-116.990286,,Latah,,,,,,,,,,,,
234,70209008,47.7121569722,-122.3705740278,,King,89.5793685913086,56.4779052734375,81.357177734375,,,,,,,,,
235,70261548,49.1637805,-124.045775,,Nanaimo,,,,,,,,,,,,
236,70271934,48.4940500651,-121.5473778361,,Skagit,,,,,,,,,,,,
237,70272155,48.49388754,-121.5470406321,,Skagit,,,,,,,,,,,,
238,70284424,45.8516911744,-122.7428368014,,Clark,,,,,,,,,,,,
239,70287841,49.1624666667,-124.0346611667,,Nanaimo,,,,,,,,,,,,
240,70328851,48.7704949,-122.35530228,"Bellingham, Washington, USA",Whatcom,,,,,,,,,,,,
241,70328892,48.77053196,-122.35532627,"Bellingham, Washington, USA",Whatcom,,,,,,,,,,,,
242,70346309,48.5862865811,-123.4267072286,,Capital,,,,,,,,,,,,
243,70346863,48.5852277372,-123.4269705042,,Capital,,,,,,,,,,,,
244,70347039,48.5850626556,-123.4262385126,,Capital,,,,,,,,,,,,
245,70347299,48.5847627511,-123.425984541,,Capital,,,,,,,,,,,,
246,70347495,48.5847854661,-123.4260540269,,Capital,,,,,,,,,,,,
247,70347646,48.582434,-123.426837,,Capital,,,,,,,,,,,,
248,70378160,47.866675,-121.671395,,Snohomish,,,,,,,,,,,,
249,70378415,47.8735783333,-121.65162,,Snohomish,,,,,,,,,,,,
250,70380081,45.4903102778,-122.7481347222,,Washington,,,,,,,,,,,,
251,70453730,47.64144254,-117.4659364,,Spokane,,,,,,,,,,,,
252,70475459,47.2888498,-122.27639101,,King,90.8425369262695,57.4472961425781,86.0363159179688,,,,,,,,,
253,70478984,49.3264007567,-122.9494476317,,Greater Vancouver,,,,,,,,,,,,
254,70523478,47.4661026944,-122.1446225833,Renton City Limits,King,91.3489685058594,55.516227722168,85.4363174438477,,,,,,,,,
255,70528957,45.8532296727,-122.742680479,,Clark,,,,,,,,,,,,
256,70569043,45.8622805453,-122.7444118239,,Clark,,,,,,,,,,,,
257,70573673,45.861050209,-122.7463806898,,Clark,,,,,,,,,,,,
258,70594617,46.9788383333,-122.3696216667,,Pierce,,,,,,,,,,,,
259,70594726,46.977305,-122.3704083333,,Pierce,,,,,,,,,,,,
260,70594778,46.9773216667,-122.3704533333,,Pierce,,,,,,,,,,,,
261,70594904,46.9776533333,-122.370255,,Pierce,,,,,,,,,,,,
262,70595016,46.914405,-122.2751216667,,Pierce,,,,,,,,,,,,
263,70642957,49.3077201842,-123.0621871947,,Greater Vancouver,,,,,,,,,,,,
264,70691696,49.309703756,-123.0392146111,,Greater Vancouver,,,,,,,,,,,,
265,70820202,45.8489773315,-122.7544119642,,Clark,,,,,,,,,,,,
266,70832153,48.4939340004,-123.3704023944,"Saanich, British Columbia",Capital,,,,,,,,,,,,
267,70855690,47.680208,-122.256595,,King,89.1363830566406,61.2192611694336,85.8712310791016,,,,,,,,,
268,70856332,47.680208,-122.256595,,King,89.1363830566406,61.2192611694336,85.8712310791016,,,,,,,,,
269,70858087,47.67082,-122.307245,,King,87.954719543457,61.1147193908691,84.3008270263672,,,,,,,,,
270,70985842,45.4733722222,-122.5517944444,Portland,Multnomah,,,,,,,31.4821548461914,16.2537631988525,29.1711387634277,,,
271,71137792,49.0173482,-122.6633489,,Greater Vancouver,,,,,,,,,,,,
272,71158602,49.3108290444,-123.0735740438,,Greater Vancouver,,,,,,,,,,,,
273,71162633,47.0315861667,-122.8867833333,,Thurston,,,,,,,,,,,,
274,71167547,46.9485358336,-122.8650806566,,Thurston,,,,,,,,,,,,
275,71169344,46.948282,-122.863655,,Thurston,,,,,,,,,,,,
276,71178383,49.5010216667,-123.82978,,Sunshine Coast,,,,,,,,,,,,
277,71182969,49.5017583333,-123.830375,,Sunshine Coast,,,,,,,,,,,,
278,71183091,49.5021466667,-123.8318633333,,Sunshine Coast,,,,,,,,,,,,
279,71185996,48.4927015496,-123.3687003313,"Saanich, British Columbia",Capital,,,,,,,,,,,,
280,71262651,46.7302283333,-116.9976583333,,Latah,,,,,,,,,,,,
281,71265935,49.3939883333,-123.5014883333,,Sunshine Coast,,,,,,,,,,,,
282,71266241,49.3937033333,-123.5025333333,,Sunshine Coast,,,,,,,,,,,,
283,71271392,47.7692916667,-122.2832633333,,King,89.2279815673828,58.9196548461914,84.8663177490234,,,,,,,,,
284,71345061,47.2701116667,-121.9392866667,,King,89.8930358886719,56.3114967346191,82.3562164306641,,,,,,,,,
285,71346055,49.4295216667,-123.6400833333,,Sunshine Coast,,,,,,,,,,,,
286,71346187,49.4297716667,-123.6401666667,,Sunshine Coast,,,,,,,,,,,,
287,71347153,47.3164133333,-121.9079666667,,King,89.4195175170898,55.2216987609863,82.610237121582,,,,,,,,,
288,71363926,49.4272033333,-123.63948,,Sunshine Coast,,,,,,,,,,,,
289,71383170,47.210242,-122.469824,Tacoma,Pierce,,,,,,,,,,31.3089866638184,16.8037109375,29.7429141998291
290,71383174,47.210676,-122.470536,Tacoma,Pierce,,,,,,,,,,31.3843231201172,17.0920429229736,29.7498474121094
291,71396943,49.1839742,-121.7439143,Chilliwack,Fraser Valley,,,,,,,,,,,,
292,71501927,47.3178416667,-122.5401616667,Tacoma,Pierce,,,,,,,,,,25.5262928009033,16.8003730773926,25.3880424499512
293,71508181,49.2836154,-122.9375808,,Greater Vancouver,,,,,,,,,,,,
294,71552775,47.956676106,-122.8009181105,,Jefferson,,,,,,,,,,,,
296,71565664,47.620767,-122.294641,,King,88.6343765258789,62.241138458252,85.248161315918,,,,,,,,,
